,Rainfall,Temp_Min,Temp_Max,Turbidity / NTU,pH,Conductivity (µS/cm),TDS /mg/l,Fe mg/l,Mn mg/l,Nitrate mg/l,Total Coliforms at 360C/100ml,Escherichia Coli at 440C/100ml
Jan-19,169.4,24,28.5,4.72,7.7,44.7,29.7,0.04,0.048,2.7,68,48
Feb-19,151.9,25.2,29.7,3.11,7.78,47.3,31.5,0.03,0.034,2.8,28,6
Mar-19,23.2,25.1,31.2,4.48,7.76,49.3,32.8,0.06,0.018,2.2,68,20
Apr-19,49.7,26.4,33,3.4,8.22,47.6,31.7,0.07,0.063,1.5,42,16
May-19,0,27.1,33.5,6.05,7.92,54,36,0.17,0.055,1.7,28,4
Jun-19,15.6,27.1,35,29.3,6.53,52.8,35.1,0.48,0.129,0.9,80,28
Jul-19,9.2,26.4,34,49.6,6.88,47.4,31.6,0.16,0.189,21.6,248,60
Aug-19,82,26.2,34.3,145,6.67,47.7,31.8,2.28,0.408,5.4,NA,260
Sep-19,176.5,25.4,32.1,29,6.72,68,45,0.54,0.172,2.6,184,80
Oct-19,446.8,24.8,30.4,132,7.41,26,17,0.62,0.286,3.9,240,64
Nov-19,547.8,24.8,30.3,11,7.05,58,39,0.44,0.084,2.2,76,40
Dec-19,486.1,24.4,29.1,13,7.37,58,38,0.34,0.017,2.8,84,48
Jan-20,120.1,24.6,29.8,6,7.1,58,38,0.34,0.031,2.7,28,10
Feb-20,54.2,25.2,30,7,7.16,52,35,0.28,0.031,2.6,24,11
Mar-20,0.7,25.3,31.2,6,7.63,54,36,0.23,0.108,2.9,NA,NA
Apr-20,6.5,26.9,33.5,5,6.92,58,39,0.15,0.135,2.8,30,12
May-20,44,26.9,34,6,7.34,59,39,0.17,0.019,2.9,68,20
Jun-20,37.5,26.7,34,6,7.2,72,48,0.07,0.096,6.4,86,40
Jul-20,51.4,26.2,32.8,6,7.31,60,40,0.09,0.096,1.9,50,18
Aug-20,38.7,26.1,34,11,7.6,58,39,0.19,0.065,5,35,22
Sep-20,59.5,25.8,32.9,9,7.25,64,42,0.17,0.115,3,42,24
Oct-20,177.4,25.3,34.2,17,7.27,62,42,0.2,0.169,4,120,72
Nov-20,284.5,24.8,30.2,14,7.66,55,37,0.21,0.092,1.8,120,24
Dec-20,740.8,24.2,28.7,11,6.89,58,39,0.14,0.073,1.6,82,56
Jan-21,761.2,23.9,28.7,10,7.4,73,49,0.29,0.042,2.3,160,24
Feb-21,153.4,24.4,29.3,6,6.71,46,31,0.16,0.027,2.1,140,32
Mar-21,97,24.6,30.7,2,6.82,48,24,0.12,0.08,5.5,128,18
Apr-21,57.4,26,32.3,2,7.29,49,25,0.09,0.034,1.2,120,12
May-21,89.7,26.3,33,3,6.95,51,25,0.1,0.111,2.4,136,24
Jun-21,53.5,25.9,34.1,4,6.53,52,26,0.25,0.057,0.8,160,20
Jul-21,64.4,26,NA,7,6.93,57,29,0.23,0.078,1.2,140,24
Aug-21,48.2,25.9,33,5,7.61,54,27,0.08,0.06,3.2,120,8
Sep-21,61.9,25.9,33.2,6,6.91,55,28,0.16,0.048,3.2,160,8
Oct-21,71.8,25.2,31.8,7,6.96,50,25,0.27,0.144,0.4,184,16
Nov-21,492.3,24.8,30.6,32,6.91,46,23,0.4,0.047,2.5,280,40
Dec-21,322.6,24.1,NA,11,6.91,43,21,0.3,0.04,6,280,28
Jan-22,351.2,22.7,29.2,5,6.1,43,22,0.23,0.079,2.3,260,34
Feb-22,162.9,23.6,29.4,4,7.06,46,23,0.3,0.058,1.6,260,42
Mar-22,132.3,24.6,30.8,4,6.41,45,24,0.24,0.07,4.6,340,38
Apr-22,72.8,24.9,32.2,4,6.08,49,25,0.41,0.104,3.6,360,52
May-22,NA,NA,NA,4,6.36,49,25,0.37,0.104,0.8,390,42
Jun-22,5.3,25.7,33.6,3,6.71,50,25,0.16,0.136,3.6,360,38
Jul-22,41.8,25.5,33.9,9,7.19,54,27,1.37,0.055,3.6,260,26
Aug-22,175.1,24.6,32.9,7,6.7,53,26,0.24,0.176,3.6,320,48
Sep-22,22.8,24.4,32.6,5,6.59,55,27,0.11,0.156,2.8,380,66
Oct-22,158.7,24.2,31.7,19,6.1,48,24,0.43,0.124,2.8,292,60
Nov-22,399.9,23.1,29.6,16,6.93,41,21,0.44,0.059,1.2,342,16
Dec-22,323.5,22.9,28.5,14,6.12,41,21,0.51,0.054,4,360,20
Jan-23,246.4,22.8,28.2,3,7.07,44,22,0.31,0.054,4.8,380,36
Feb-23,196,23.8,28.7,11,6.76,44,22,0.4,0.045,2,420,42
Mar-23,149.2,25.2,30.7,3,6.69,46.4,23.1,0.35,0.062,4,520,28
Apr-23,94.5,25.8,32.4,3,7.34,48,24,0.68,0.135,1.2,480,36
May-23,52.1,26.2,32.8,5,6.97,50,25,0.79,0.266,3.2,520,22
Jun-23,19.3,26.6,33.8,4,7.31,39,24,0.42,0.059,0.08,480,28
Jul-23,2.3,26.2,34.7,5,7.85,59,30,0.24,0.111,0.4,380,16
Aug-23,8.8,26.3,32.4,5,7.6,46,23,0.4,0.088,2,480,32
Sep-23,188.9,25.8,33.6,9,8.1,49,45,0.29,0.21,0,340,68
Oct-23,216,24.9,31.5,4,7.52,46,23,0.18,0.148,6,328,18
Nov-23,341.8,25,30.6,3,7.79,40,20,0.28,0.024,2,440,48
Dec-23,481.3,25.2,29.7,8,8.23,36,18,NA,0.063,2.8,380,22
Jan-24,711.8,24.3,29,6,8.16,36,18,NA,NA,NA,NA,NA
Feb-24,62.4,25.4,30.2,2,6.9,39,20,NA,NA,NA,NA,NA
Mar-24,84.7,25.2,31.3,3,7.01,47,24,NA,NA,NA,NA,NA
Apr-24,77.4,26.6,32.7,3,7.44,44,11,NA,NA,NA,NA,NA
May-24,41.8,26.7,33.5,5,7.55,41,20,NA,NA,NA,NA,NA
Jun-24,3.3,26.7,34.3,6,7.38,42,21,NA,NA,NA,NA,NA
Jul-24,6.2,26.8,35.7,6,7.3,41,21,NA,NA,NA,NA,NA
Aug-24,111.3,26,33,4,6.98,42,21,NA,NA,NA,NA,NA
Sep-24,40.3,26,35,5,6.99,42,21,NA,NA,NA,NA,NA
Oct-24,164,25.5,31.5,6,7.64,48,24,NA,NA,NA,NA,NA
Nov-24,582.8,24.7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dec-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
